"행정구역","2025년04월_남_총인구수","2025년04월_남_연령구간인구수","2025년04월_남_0~9세","2025년04월_남_10~19세","2025년04월_남_20~29세","2025년04월_남_30~39세","2025년04월_남_40~49세","2025년04월_남_50~59세","2025년04월_남_60~69세","2025년04월_남_70~79세","2025년04월_남_80~89세","2025년04월_남_90~99세","2025년04월_남_100세 이상","2025년04월_여_총인구수","2025년04월_여_연령구간인구수","2025년04월_여_0~9세","2025년04월_여_10~19세","2025년04월_여_20~29세","2025년04월_여_30~39세","2025년04월_여_40~49세","2025년04월_여_50~59세","2025년04월_여_60~69세","2025년04월_여_70~79세","2025년04월_여_80~89세","2025년04월_여_90~99세","2025년04월_여_100세 이상"
"서울특별시  (1100000000)","4,501,804","4,501,804","243,454","368,965","607,685","724,541","679,734","729,727","625,887","359,746","147,325","14,398","342","4,830,056","4,830,056","231,445","353,672","686,122","723,394","696,047","753,451","695,131","437,810","214,233","37,594","1,157"
"서울특별시 종로구 (1111000000)","66,413","66,413","2,701","4,611","9,698","9,874","8,866","11,445","10,509","5,582","2,756","357","14","71,683","71,683","2,613","4,798","11,071","9,872","9,508","11,783","10,491","6,609","4,130","779","29"
"서울특별시 종로구 청운효자동(1111051500)","5,013","5,013","276","518","631","699","755","869","631","370","234","27","3","6,002","6,002","255","507","665","815","994","1,037","779","544","337","68","1"
"서울특별시 종로구 사직동(1111053000)","3,935","3,935","192","270","435","631","587","668","590","301","218","39","4","5,002","5,002","199","356","592","798","799","789","681","427","289","69","3"
"서울특별시 종로구 삼청동(1111054000)","1,039","1,039","38","90","118","123","148","152","177","123","60","10","0","1,131","1,131","42","63","109","154","150","176","191","136","88","22","0"
"서울특별시 종로구 부암동(1111055000)","4,233","4,233","181","419","520","588","599","721","630","362","190","23","0","4,791","4,791","173","351","508","620","726","886","755","448","258","63","3"
"서울특별시 종로구 평창동(1111056000)","7,997","7,997","490","738","926","972","1,062","1,376","1,341","699","335","55","3","9,212","9,212","424","770","958","1,065","1,334","1,700","1,492","822","505","133","9"
"서울특별시 종로구 무악동(1111057000)","3,588","3,588","220","378","357","391","565","720","519","274","143","21","0","4,229","4,229","269","508","440","419","663","691","607","358","238","34","2"
"서울특별시 종로구 교남동(1111058000)","4,361","4,361","324","358","490","624","764","797","521","319","150","14","0","5,152","5,152","337","394","563","771","882","843","650","444","230","38","0"
"서울특별시 종로구 가회동(1111060000)","1,740","1,740","89","150","167","245","263","316","260","159","80","11","0","1,992","1,992","57","142","195","263","313","346","291","209","148","26","2"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,037","4,037","78","108","458","615","493","722","876","472","191","22","2","2,654","2,654","65","112","475","420","323","339","410","286","190","33","1"
"서울특별시 종로구 종로5.6가동(1111063000)","2,759","2,759","71","80","462","539","325","453","469","227","120","13","0","2,516","2,516","65","104","597","438","240","343","340","227","140","22","0"
"서울특별시 종로구 이화동(1111064000)","3,267","3,267","71","167","669","618","394","487","454","259","133","15","0","3,762","3,762","82","160","910","618","397","506","491","342","215","41","0"
"서울특별시 종로구 혜화동(1111065000)","7,579","7,579","227","608","2,096","1,048","883","1,094","817","467","304","34","1","8,226","8,226","222","606","2,171","956","933","1,201","909","670","469","83","6"
"서울특별시 종로구 창신제1동(1111067000)","2,355","2,355","53","78","277","324","255","404","592","262","103","7","0","2,129","2,129","51","74","266","274","201","374","441","262","165","21","0"
"서울특별시 종로구 창신제2동(1111068000)","3,736","3,736","70","155","435","525","409","797","813","373","137","22","0","3,531","3,531","67","140","396","376","320","750","750","430","269","33","0"
"서울특별시 종로구 창신제3동(1111069000)","3,030","3,030","131","191","378","470","391","527","554","259","106","22","1","3,157","3,157","124","203","352","442","370","602","540","306","190","28","0"
"서울특별시 종로구 숭인제1동(1111070000)","2,765","2,765","81","164","332","410","393","523","492","260","103","7","0","2,962","2,962","83","162","368","391","376","530","515","305","192","38","2"
"서울특별시 종로구 숭인제2동(1111071000)","4,979","4,979","109","139","947","1,052","580","819","773","396","149","15","0","5,235","5,235","98","146","1,506","1,052","487","670","649","393","207","27","0"
"서울특별시 중구 (1114000000)","57,556","57,556","2,638","2,931","7,316","10,663","8,231","9,224","8,998","5,084","2,211","253","7","62,045","62,045","2,524","2,982","9,105","10,685","8,046","9,125","9,169","6,079","3,608","708","14"
"서울특별시 중구 소공동(1114052000)","1,000","1,000","73","50","67","196","258","164","106","55","28","3","0","1,166","1,166","64","95","136","239","277","153","107","59","31","5","0"
"서울특별시 중구 회현동(1114054000)","2,236","2,236","75","103","205","260","242","404","518","289","122","18","0","2,067","2,067","72","100","201","278","243","346","374","275","137","40","1"
"서울특별시 중구 명동(1114055000)","1,025","1,025","26","52","124","158","131","199","176","110","43","6","0","1,482","1,482","19","65","185","158","190","244","284","196","111","30","0"
"서울특별시 중구 필동(1114057000)","2,226","2,226","64","99","400","458","291","329","313","174","84","14","0","2,112","2,112","69","100","419","417","238","252","274","188","111","42","2"
"서울특별시 중구 장충동(1114058000)","2,377","2,377","68","130","680","390","241","312","274","179","90","12","1","2,200","2,200","42","165","576","258","229","288","267","209","141","25","0"
"서울특별시 중구 광희동(1114059000)","2,799","2,799","60","83","435","680","355","388","447","243","101","7","0","2,925","2,925","55","91","702","616","317","314","386","269","151","24","0"
"서울특별시 중구 을지로동(1114060500)","1,645","1,645","60","30","158","490","271","209","240","132","50","5","0","1,405","1,405","70","51","210","412","231","148","134","85","58","6","0"
"서울특별시 중구 신당동(1114061500)","3,576","3,576","102","105","456","694","504","611","619","335","139","11","0","3,778","3,778","115","137","715","655","446","515","570","362","215","46","2"
"서울특별시 중구 다산동(1114062500)","6,309","6,309","194","357","893","1,117","830","1,093","952","576","274","23","0","6,736","6,736","196","299","987","1,019","843","1,058","1,142","692","420","79","1"
"서울특별시 중구 약수동(1114063500)","7,305","7,305","379","422","772","1,117","1,009","1,173","1,236","785","366","45","1","8,554","8,554","385","406","882","1,188","1,057","1,384","1,466","1,016","646","122","2"
"서울특별시 중구 청구동(1114064500)","5,437","5,437","278","317","614","1,009","705","871","871","523","228","20","1","6,194","6,194","259","305","717","1,026","731","982","993","667","434","79","1"
"서울특별시 중구 신당제5동(1114065000)","4,879","4,879","211","233","594","922","716","886","776","366","154","20","1","5,190","5,190","207","257","770","956","643","791","754","503","271","38","0"
"서울특별시 중구 동화동(1114066500)","4,698","4,698","297","350","501","615","655","801","842","432","178","26","1","5,122","5,122","257","350","537","669","672","920","859","467","328","63","0"
"서울특별시 중구 황학동(1114067000)","6,156","6,156","312","214","837","1,597","933","845","794","453","152","19","0","6,957","6,957","262","232","1,348","1,644","940","848","812","554","264","52","1"
"서울특별시 중구 중림동(1114068000)","5,888","5,888","439","386","580","960","1,090","939","834","432","202","24","2","6,157","6,157","452","329","720","1,150","989","882","747","537","290","57","4"
"서울특별시 용산구 (1117000000)","97,097","97,097","5,137","6,506","12,422","18,042","14,460","15,715","13,905","7,116","3,291","485","18","106,253","106,253","4,973","6,333","15,063","18,767","14,734","16,757","14,514","8,674","5,387","1,017","34"
"서울특별시 용산구 후암동(1117051000)","7,545","7,545","320","575","993","1,417","1,080","1,210","1,084","608","233","24","1","8,206","8,206","287","489","1,094","1,366","1,128","1,323","1,223","743","468","79","6"
"서울특별시 용산구 용산2가동(1117052000)","4,222","4,222","112","207","651","862","636","559","587","387","202","19","0","4,374","4,374","105","190","608","762","516","637","702","505","285","63","1"
"서울특별시 용산구 남영동(1117053000)","4,104","4,104","56","110","361","597","462","924","1,025","402","149","16","2","2,601","2,601","55","88","399","474","306","440","424","237","153","23","2"
"서울특별시 용산구 청파동(1117055500)","8,537","8,537","219","424","1,445","1,765","1,095","1,455","1,213","603","293","23","2","9,978","9,978","206","485","2,420","1,676","1,032","1,438","1,314","850","480","75","2"
"서울특별시 용산구 원효로제1동(1117056000)","7,897","7,897","534","495","1,044","1,986","1,259","1,096","878","435","144","26","0","9,223","9,223","510","442","1,750","2,330","1,325","1,145","945","473","257","45","1"
"서울특별시 용산구 원효로제2동(1117057000)","6,333","6,333","331","428","770","1,142","952","1,067","931","476","209","27","0","7,171","7,171","382","490","1,037","1,248","921","1,116","984","562","360","68","3"
"서울특별시 용산구 효창동(1117058000)","4,933","4,933","308","344","653","1,001","754","803","609","287","155","19","0","5,575","5,575","336","324","808","1,052","805","933","644","376","251","45","1"
"서울특별시 용산구 용문동(1117059000)","5,251","5,251","273","308","709","966","725","874","754","426","199","15","2","5,873","5,873","273","312","795","974","755","943","845","597","327","49","3"
"서울특별시 용산구 한강로동(1117062500)","9,871","9,871","592","463","1,276","2,268","1,397","1,465","1,401","684","284","40","1","11,060","11,060","595","469","1,719","2,626","1,453","1,671","1,380","662","399","83","3"
"서울특별시 용산구 이촌제1동(1117063000)","11,686","11,686","1,075","1,302","1,242","1,338","1,862","2,056","1,525","754","438","92","2","13,238","13,238","1,000","1,281","1,265","1,665","2,193","2,375","1,604","939","747","166","3"
"서울특별시 용산구 이촌제2동(1117064000)","3,634","3,634","195","212","363","677","558","571","563","330","140","25","0","4,118","4,118","207","207","394","649","560","643","719","440","252","45","2"
"서울특별시 용산구 이태원제1동(1117065000)","3,003","3,003","102","113","409","656","411","433","497","235","118","29","0","3,026","3,026","99","124","352","516","371","468","507","346","200","41","2"
"서울특별시 용산구 이태원제2동(1117066000)","4,039","4,039","175","196","570","889","617","573","512","301","174","31","1","4,455","4,455","132","212","580","822","640","653","644","427","296","49","0"
"서울특별시 용산구 한남동(1117068500)","6,564","6,564","443","466","707","1,133","1,153","1,022","877","502","228","31","2","7,405","7,405","424","425","748","1,367","1,228","1,213","993","629","312","65","1"
"서울특별시 용산구 서빙고동(1117069000)","5,930","5,930","320","662","758","709","1,013","971","857","392","192","51","5","6,410","6,410","295","657","733","768","1,064","1,109","859","467","378","78","2"
"서울특별시 용산구 보광동(1117070000)","3,548","3,548","82","201","471","636","486","636","592","294","133","17","0","3,540","3,540","67","138","361","472","437","650","727","421","222","43","2"
"서울특별시 성동구 (1120000000)","132,167","132,167","8,118","8,639","18,435","22,886","19,740","21,221","18,818","9,729","4,170","401","10","141,204","141,204","7,585","8,831","20,035","23,711","19,711","22,116","19,606","11,926","6,583","1,076","24"
"서울특별시 성동구 왕십리제2동(1120052000)","7,610","7,610","492","501","927","1,439","1,121","1,238","1,099","535","234","23","1","8,252","8,252","483","496","1,109","1,467","1,141","1,305","1,140","696","349","63","3"
"서울특별시 성동구 왕십리도선동(1120053500)","12,184","12,184","998","840","1,564","2,056","1,916","1,963","1,646","793","379","29","0","13,749","13,749","852","820","2,107","2,428","1,939","2,236","1,679","1,011","575","100","2"
"서울특별시 성동구 마장동(1120054000)","10,478","10,478","479","675","1,948","1,702","1,258","1,624","1,532","878","343","39","0","10,860","10,860","434","707","1,967","1,540","1,232","1,704","1,589","1,009","588","88","2"
"서울특별시 성동구 사근동(1120055000)","6,227","6,227","145","340","2,657","968","541","605","489","289","180","13","0","5,820","5,820","128","491","2,221","662","473","669","501","407","247","21","0"
"서울특별시 성동구 행당제1동(1120056000)","6,500","6,500","410","463","925","1,178","977","1,003","872","440","216","14","2","7,196","7,196","384","504","1,143","1,250","989","1,139","898","535","300","52","2"
"서울특별시 성동구 행당제2동(1120057000)","10,485","10,485","761","829","1,089","1,641","1,643","1,895","1,450","803","334","39","1","12,022","12,022","739","1,000","1,329","1,813","1,751","2,041","1,610","1,063","578","94","4"
"서울특별시 성동구 응봉동(1120058000)","6,902","6,902","466","725","728","980","1,139","1,229","869","490","244","32","0","7,691","7,691","415","690","841","1,057","1,312","1,310","962","650","394","60","0"
"서울특별시 성동구 금호1가동(1120059000)","6,865","6,865","517","509","685","1,051","1,240","1,106","958","568","208","23","0","7,635","7,635","474","514","734","1,194","1,214","1,179","1,168","706","377","74","1"
"서울특별시 성동구 금호2.3가동(1120061500)","9,867","9,867","709","588","1,085","1,777","1,649","1,586","1,368","752","321","30","2","10,914","10,914","706","563","1,110","1,933","1,668","1,708","1,583","999","554","86","4"
"서울특별시 성동구 금호4가동(1120062000)","6,598","6,598","572","469","587","1,099","1,219","1,036","865","521","204","25","1","7,423","7,423","529","443","630","1,281","1,259","1,098","1,061","684","368","69","1"
"서울특별시 성동구 옥수동(1120064500)","11,672","11,672","1,100","812","1,022","2,082","2,133","1,747","1,524","861","355","34","2","13,512","13,512","1,095","809","1,219","2,482","2,236","1,978","1,902","1,059","612","119","1"
"서울특별시 성동구 성수1가제1동(1120065000)","7,445","7,445","368","439","1,022","1,435","963","1,270","1,263","501","168","16","0","7,607","7,607","368","396","1,016","1,448","965","1,378","1,169","532","284","49","2"
"서울특별시 성동구 성수1가제2동(1120066000)","6,223","6,223","340","377","859","1,240","916","991","868","437","187","8","0","6,650","6,650","333","363","911","1,311","966","1,029","935","504","260","38","0"
"서울특별시 성동구 성수2가제1동(1120067000)","7,244","7,244","255","339","850","1,275","928","1,235","1,484","615","238","25","0","6,717","6,717","234","345","798","1,067","826","1,135","1,256","680","321","55","0"
"서울특별시 성동구 성수2가제3동(1120069000)","4,724","4,724","200","262","672","869","666","743","721","389","183","19","0","4,833","4,833","173","233","751","935","628","728","679","423","250","32","1"
"서울특별시 성동구 송정동(1120072000)","4,917","4,917","184","225","670","852","693","867","882","395","135","14","0","4,434","4,434","122","220","668","706","555","736","761","433","206","27","0"
"서울특별시 성동구 용답동(1120079000)","6,226","6,226","122","246","1,145","1,242","738","1,083","928","462","241","18","1","5,889","5,889","116","237","1,481","1,137","557","743","713","535","320","49","1"
"서울특별시 광진구 (1121500000)","159,310","159,310","7,084","11,616","26,031","27,857","22,580","25,185","22,050","11,581","4,827","484","15","173,178","173,178","6,818","11,378","30,558","28,101","23,623","26,790","23,948","13,896","6,856","1,178","32"
"서울특별시 광진구 화양동(1121571000)","10,829","10,829","142","295","4,223","2,517","1,043","1,058","796","499","235","21","0","12,193","12,193","134","439","5,736","2,369","908","865","796","617","287","39","3"
"서울특별시 광진구 군자동(1121573000)","9,163","9,163","276","508","1,954","1,750","1,196","1,259","1,228","674","300","18","0","9,477","9,477","259","425","2,137","1,666","1,153","1,246","1,304","783","436","64","4"
"서울특별시 광진구 중곡제1동(1121574000)","7,106","7,106","243","341","1,041","1,511","1,000","1,126","1,030","551","251","12","0","7,873","7,873","230","288","1,537","1,584","896","1,161","1,148","638","336","54","1"
"서울특별시 광진구 중곡제2동(1121575000)","9,440","9,440","355","616","1,399","1,785","1,289","1,485","1,444","744","303","20","0","10,603","10,603","346","563","1,709","1,860","1,326","1,741","1,649","953","394","62","0"
"서울특별시 광진구 중곡제3동(1121576000)","7,538","7,538","276","377","1,015","1,455","1,030","1,221","1,259","620","264","21","0","7,794","7,794","235","354","1,176","1,276","911","1,297","1,304","800","395","45","1"
"서울특별시 광진구 중곡제4동(1121577000)","13,143","13,143","459","817","1,779","2,108","1,698","2,263","2,289","1,227","470","30","3","13,904","13,904","418","749","1,762","1,965","1,666","2,608","2,546","1,436","648","103","3"
"서울특별시 광진구 능동(1121578000)","4,984","4,984","191","237","900","1,146","720","693","566","350","168","13","0","5,875","5,875","197","245","1,194","1,298","835","739","684","445","214","24","0"
"서울특별시 광진구 광장동(1121581000)","16,193","16,193","1,224","2,634","1,824","1,537","2,934","2,949","1,806","864","352","66","3","17,333","17,333","1,152","2,507","1,820","1,842","3,627","2,987","1,828","879","560","130","1"
"서울특별시 광진구 자양제1동(1121582000)","10,494","10,494","308","673","1,862","2,016","1,463","1,643","1,463","708","332","26","0","11,216","11,216","312","622","2,017","1,861","1,506","1,713","1,629","976","501","78","1"
"서울특별시 광진구 자양제2동(1121583000)","12,088","12,088","661","888","1,570","2,218","1,791","1,858","1,759","957","349","35","2","12,930","12,930","687","838","1,684","2,208","1,833","2,066","1,951","1,075","501","87","0"
"서울특별시 광진구 자양제3동(1121584000)","12,869","12,869","932","1,134","1,660","1,808","1,922","2,117","1,856","958","404","74","4","14,005","14,005","829","1,174","1,729","1,986","2,166","2,333","2,026","1,061","553","142","6"
"서울특별시 광진구 자양제4동(1121584700)","9,714","9,714","341","402","1,456","1,910","1,201","1,609","1,585","853","319","37","1","10,133","10,133","358","423","1,729","1,717","1,214","1,487","1,573","1,052","493","85","2"
"서울특별시 광진구 구의제1동(1121585000)","10,874","10,874","376","557","2,090","2,258","1,545","1,685","1,356","669","305","33","0","12,087","12,087","358","609","2,638","2,298","1,513","1,779","1,508","879","434","68","3"
"서울특별시 광진구 구의제2동(1121586000)","11,920","11,920","581","1,011","1,517","1,726","1,824","2,077","1,797","964","390","33","0","13,173","13,173","584","998","1,590","1,829","1,956","2,307","2,025","1,212","583","82","7"
"서울특별시 광진구 구의제3동(1121587000)","12,955","12,955","719","1,126","1,741","2,112","1,924","2,142","1,816","943","385","45","2","14,582","14,582","719","1,144","2,100","2,342","2,113","2,461","1,977","1,090","521","115","0"
"서울특별시 동대문구 (1123000000)","167,276","167,276","8,784","11,574","26,173","26,260","24,347","26,382","23,726","13,541","5,918","559","12","175,040","175,040","8,525","11,385","29,515","25,049","23,106","25,927","24,739","16,506","8,861","1,386","41"
"서울특별시 동대문구 용신동(1123053600)","19,129","19,129","910","975","3,112","3,623","2,879","2,958","2,665","1,330","609","67","1","19,681","19,681","908","911","3,813","3,641","2,586","2,774","2,433","1,581","902","129","3"
"서울특별시 동대문구 제기동(1123054500)","11,715","11,715","345","606","2,280","1,764","1,356","1,795","1,832","1,136","555","46","0","11,119","11,119","344","540","2,075","1,349","1,111","1,592","1,819","1,378","785","119","7"
"서울특별시 동대문구 전농제1동(1123056000)","16,248","16,248","909","1,087","2,346","2,474","2,386","2,776","2,430","1,247","541","52","0","16,481","16,481","922","1,071","2,511","2,289","2,294","2,609","2,317","1,498","819","145","6"
"서울특별시 동대문구 전농제2동(1123057000)","8,337","8,337","433","703","935","1,067","1,236","1,496","1,307","760","360","39","1","9,194","9,194","439","738","981","1,034","1,237","1,592","1,557","983","559","72","2"
"서울특별시 동대문구 답십리제1동(1123060000)","13,218","13,218","1,074","957","1,548","2,298","2,353","1,976","1,741","874","365","31","1","14,461","14,461","987","969","2,154","2,605","2,222","1,980","1,802","1,068","579","92","3"
"서울특별시 동대문구 답십리제2동(1123061000)","12,982","12,982","721","791","1,402","2,214","1,871","2,133","2,055","1,209","539","47","0","14,144","14,144","778","843","1,506","2,119","1,805","2,290","2,352","1,507","824","118","2"
"서울특별시 동대문구 장안제1동(1123065000)","18,181","18,181","993","1,229","2,065","3,066","3,000","2,931","2,675","1,596","586","39","1","18,873","18,873","861","1,226","2,588","2,941","2,789","2,825","2,936","1,829","756","119","3"
"서울특별시 동대문구 장안제2동(1123066000)","16,220","16,220","1,199","1,555","1,758","2,413","2,821","2,587","2,171","1,239","449","28","0","16,698","16,698","1,168","1,320","1,887","2,414","2,841","2,499","2,340","1,482","635","111","1"
"서울특별시 동대문구 청량리동(1123070500)","9,047","9,047","258","473","1,045","1,158","1,104","1,462","1,864","1,132","486","62","3","9,325","9,325","275","400","1,076","986","953","1,439","1,889","1,339","804","162","2"
"서울특별시 동대문구 회기동(1123071000)","4,812","4,812","141","374","1,486","803","522","603","429","275","159","18","2","5,437","5,437","136","398","1,865","682","581","580","504","391","253","47","0"
"서울특별시 동대문구 휘경제1동(1123072000)","6,100","6,100","272","385","1,448","1,002","786","854","707","420","198","28","0","7,047","7,047","289","407","2,157","954","743","935","684","531","303","41","3"
"서울특별시 동대문구 휘경제2동(1123073000)","12,053","12,053","463","940","3,008","1,657","1,458","1,775","1,429","916","372","33","2","12,059","12,059","416","1,007","2,684","1,446","1,442","1,761","1,578","1,087","552","84","2"
"서울특별시 동대문구 이문제1동(1123074000)","10,344","10,344","589","762","2,605","1,635","1,309","1,448","1,069","564","326","36","1","10,892","10,892","559","831","2,875","1,478","1,264","1,424","1,125","757","497","78","4"
"서울특별시 동대문구 이문제2동(1123075000)","8,890","8,890","477","737","1,135","1,086","1,266","1,588","1,352","843","373","33","0","9,629","9,629","443","724","1,343","1,111","1,238","1,627","1,403","1,075","593","69","3"
"서울특별시 중랑구 (1126000000)","184,714","184,714","8,730","11,922","22,031","29,599","26,697","31,022","31,034","16,637","6,492","539","11","193,054","193,054","8,447","11,292","24,500","28,509","24,537","31,800","33,064","19,705","9,563","1,588","49"
"서울특별시 중랑구 면목제2동(1126052000)","11,442","11,442","410","657","1,294","1,714","1,675","2,120","2,079","1,022","427","44","0","11,657","11,657","378","621","1,349","1,664","1,385","2,048","2,187","1,280","647","93","5"
"서울특별시 중랑구 면목제4동(1126054000)","8,812","8,812","390","547","1,054","1,238","1,322","1,613","1,466","819","339","23","1","8,932","8,932","356","493","992","1,185","1,203","1,501","1,529","1,105","508","59","1"
"서울특별시 중랑구 면목제5동(1126055000)","7,002","7,002","556","456","705","1,110","1,187","1,171","1,065","557","183","12","0","7,130","7,130","548","427","700","1,078","1,130","1,193","1,095","609","309","41","0"
"서울특별시 중랑구 면목본동(1126056500)","15,782","15,782","537","745","2,109","2,815","2,172","2,811","2,667","1,337","557","30","2","16,366","16,366","492","750","2,328","2,576","1,925","2,853","2,773","1,737","802","130","0"
"서울특별시 중랑구 면목제7동(1126057000)","10,347","10,347","491","557","1,193","1,657","1,470","1,784","1,760","1,021","376","37","1","10,519","10,519","451","469","1,262","1,596","1,271","1,700","1,934","1,221","517","97","1"
"서울특별시 중랑구 면목제3.8동(1126057500)","11,701","11,701","411","594","1,475","1,842","1,616","2,052","2,054","1,196","426","34","1","12,035","12,035","400","562","1,504","1,665","1,377","2,112","2,317","1,338","658","98","4"
"서울특별시 중랑구 상봉제1동(1126058000)","11,037","11,037","671","883","1,338","1,643","1,619","1,801","1,883","841","344","14","0","11,690","11,690","656","780","1,337","1,756","1,501","1,988","2,010","1,058","516","87","1"
"서울특별시 중랑구 상봉제2동(1126059000)","9,823","9,823","326","353","1,592","2,426","1,277","1,462","1,386","695","285","20","1","11,109","11,109","339","326","2,670","2,582","1,183","1,393","1,366","807","374","66","3"
"서울특별시 중랑구 중화제1동(1126060000)","8,974","8,974","399","569","1,038","1,530","1,328","1,354","1,522","878","327","28","1","9,173","9,173","380","539","1,039","1,390","1,110","1,468","1,733","1,015","442","56","1"
"서울특별시 중랑구 중화제2동(1126061000)","11,976","11,976","367","510","1,426","1,958","1,564","2,147","2,343","1,109","514","38","0","11,499","11,499","364","424","1,566","1,647","1,333","1,967","2,114","1,304","682","98","0"
"서울특별시 중랑구 묵제1동(1126062000)","15,828","15,828","761","1,484","2,004","2,232","2,394","2,647","2,294","1,381","583","48","0","17,479","17,479","772","1,367","2,456","2,307","2,519","2,855","2,662","1,649","762","126","4"
"서울특별시 중랑구 묵제2동(1126063000)","8,772","8,772","364","531","1,071","1,368","1,290","1,473","1,430","869","345","30","1","9,077","9,077","347","466","1,192","1,219","1,173","1,550","1,603","987","474","64","2"
"서울특별시 중랑구 망우본동(1126065500)","18,741","18,741","1,344","1,095","1,923","3,357","2,898","2,867","3,050","1,606","547","52","2","19,418","19,418","1,289","1,180","2,315","3,247","2,588","2,839","3,139","1,735","897","179","10"
"서울특별시 중랑구 망우제3동(1126066000)","7,685","7,685","243","386","866","1,070","994","1,419","1,586","782","309","30","0","7,618","7,618","242","426","871","914","850","1,437","1,473","889","420","95","1"
"서울특별시 중랑구 신내1동(1126068000)","17,717","17,717","997","1,880","1,996","2,270","2,552","2,824","2,937","1,598","611","52","0","19,196","19,196","972","1,803","1,930","2,303","2,684","3,202","3,268","1,865","958","200","11"
"서울특별시 중랑구 신내2동(1126069000)","9,075","9,075","463","675","947","1,369","1,339","1,477","1,512","926","319","47","1","10,156","10,156","461","659","989","1,380","1,305","1,694","1,861","1,106","597","99","5"
"서울특별시 성북구 (1129000000)","201,755","201,755","11,293","17,289","29,493","28,003","29,732","34,853","27,473","15,668","7,220","714","17","219,844","219,844","10,724","16,981","33,663","27,800","30,614","35,870","31,022","20,116","11,152","1,846","56"
"서울특별시 성북구 성북동(1129052500)","7,316","7,316","306","509","1,097","1,251","966","1,257","1,004","571","313","38","4","8,396","8,396","269","476","1,295","1,319","1,107","1,428","1,161","743","497","98","3"
"서울특별시 성북구 삼선동(1129055500)","10,353","10,353","369","743","1,866","1,489","1,390","1,927","1,369","749","412","36","3","11,534","11,534","340","800","2,271","1,541","1,400","1,868","1,535","1,014","672","91","2"
"서울특별시 성북구 동선동(1129057500)","6,010","6,010","173","308","1,352","1,146","829","879","682","398","225","18","0","8,835","8,835","187","571","3,323","1,259","834","950","766","529","346","65","5"
"서울특별시 성북구 돈암제1동(1129058000)","6,510","6,510","331","473","802","903","850","1,177","1,067","604","271","32","0","7,436","7,436","285","514","950","921","898","1,320","1,249","790","429","78","2"
"서울특별시 성북구 돈암제2동(1129059000)","10,887","10,887","770","1,270","1,263","1,297","1,689","2,048","1,453","738","325","34","0","12,167","12,167","735","1,246","1,317","1,410","1,985","2,262","1,637","931","513","127","4"
"서울특별시 성북구 안암동(1129060000)","7,770","7,770","176","422","2,926","1,204","704","940","753","404","217","24","0","7,732","7,732","186","422","2,818","938","669","966","794","528","345","65","1"
"서울특별시 성북구 보문동(1129061000)","7,663","7,663","439","470","1,134","1,391","1,175","1,305","994","499","230","26","0","8,303","8,303","418","502","1,373","1,336","1,085","1,374","1,112","674","373","54","2"
"서울특별시 성북구 정릉제1동(1129062000)","8,385","8,385","572","825","1,041","1,075","1,340","1,458","1,071","659","303","41","0","9,134","9,134","512","775","1,133","1,106","1,398","1,516","1,247","892","480","75","0"
"서울특별시 성북구 정릉제2동(1129063000)","10,581","10,581","560","794","1,386","1,461","1,483","1,834","1,639","977","397","49","1","11,456","11,456","530","717","1,457","1,450","1,472","1,986","1,864","1,188","678","111","3"
"서울특별시 성북구 정릉제3동(1129064000)","6,896","6,896","189","464","1,897","893","696","994","854","614","269","26","0","7,101","7,101","177","426","1,476","741","688","1,079","1,151","780","493","88","2"
"서울특별시 성북구 정릉제4동(1129065000)","11,341","11,341","536","972","1,487","1,415","1,606","2,094","1,679","1,044","465","43","0","12,452","12,452","530","880","1,506","1,421","1,695","2,176","2,022","1,373","732","113","4"
"서울특별시 성북구 길음제1동(1129066000)","16,749","16,749","1,371","2,514","1,701","1,672","3,245","3,212","1,588","941","465","40","0","18,703","18,703","1,354","2,581","1,875","2,062","3,739","3,039","1,980","1,274","686","110","3"
"서울특별시 성북구 길음제2동(1129068500)","10,237","10,237","959","1,049","1,162","1,297","1,775","1,822","1,230","680","232","30","1","11,237","11,237","919","1,024","1,310","1,467","2,004","1,901","1,346","818","379","66","3"
"서울특별시 성북구 종암동(1129070500)","18,090","18,090","930","1,741","2,681","2,353","2,626","3,130","2,531","1,342","669","83","4","18,679","18,679","900","1,469","2,529","2,103","2,759","3,109","2,736","1,760","1,099","209","6"
"서울특별시 성북구 월곡제1동(1129071500)","12,044","12,044","734","1,138","1,250","1,568","1,921","2,149","1,761","1,006","481","36","0","12,999","12,999","730","1,170","1,387","1,582","1,969","2,142","1,942","1,327","658","87","5"
"서울특별시 성북구 월곡제2동(1129072500)","8,783","8,783","367","675","1,273","1,374","1,142","1,471","1,293","780","377","31","0","9,727","9,727","305","603","2,052","1,196","1,161","1,417","1,422","953","519","97","2"
"서울특별시 성북구 장위제1동(1129076000)","11,140","11,140","620","853","1,375","1,625","1,692","1,939","1,774","874","360","28","0","11,773","11,773","642","865","1,421","1,457","1,588","2,134","1,920","1,102","569","75","0"
"서울특별시 성북구 장위제2동(1129077000)","6,686","6,686","301","371","841","1,051","939","1,144","1,034","690","286","28","1","6,962","6,962","245","375","869","973","789","1,117","1,200","896","424","71","3"
"서울특별시 성북구 장위제3동(1129078000)","8,023","8,023","786","685","928","1,160","1,429","1,308","1,012","502","196","17","0","8,363","8,363","739","660","1,028","1,272","1,343","1,348","1,073","589","263","47","1"
