"행정구역","2025년04월_남_총인구수","2025년04월_남_연령구간인구수","2025년04월_남_0~9세","2025년04월_남_10~19세","2025년04월_남_20~29세","2025년04월_남_30~39세","2025년04월_남_40~49세","2025년04월_남_50~59세","2025년04월_남_60~69세","2025년04월_남_70~79세","2025년04월_남_80~89세","2025년04월_남_90~99세","2025년04월_남_100세 이상","2025년04월_여_총인구수","2025년04월_여_연령구간인구수","2025년04월_여_0~9세","2025년04월_여_10~19세","2025년04월_여_20~29세","2025년04월_여_30~39세","2025년04월_여_40~49세","2025년04월_여_50~59세","2025년04월_여_60~69세","2025년04월_여_70~79세","2025년04월_여_80~89세","2025년04월_여_90~99세","2025년04월_여_100세 이상"
"광주광역시 서구 동천동(2914084000)","7,164","7,164","456","1,111","925","644","1,203","1,386","864","421","136","18","0","7,992","7,992","478","1,068","811","670","1,452","1,504","1,140","594","232","41","2"
"광주광역시 남구 (2915500000)","99,565","99,565","6,710","11,329","11,573","11,561","15,973","15,967","13,764","8,609","3,721","347","11","108,734","108,734","6,516","11,484","11,029","11,469","16,670","17,083","16,609","11,097","5,643","1,097","37"
"광주광역시 남구 양림동(2915551000)","2,868","2,868","114","294","365","242","381","513","406","337","188","28","0","3,475","3,475","130","360","322","257","456","560","570","512","263","43","2"
"광주광역시 남구 방림1동(2915552000)","3,114","3,114","209","337","315","377","491","522","417","308","124","14","0","3,453","3,453","209","331","320","373","536","520","512","419","210","22","1"
"광주광역시 남구 방림2동(2915553000)","4,268","4,268","243","370","505","512","566","701","669","461","215","26","0","4,826","4,826","232","385","484","453","604","767","812","668","344","73","4"
"광주광역시 남구 봉선1동(2915553700)","6,205","6,205","353","717","774","747","989","1,020","838","492","245","26","4","7,196","7,196","329","683","821","727","1,050","1,139","1,129","762","458","94","4"
"광주광역시 남구 봉선2동(2915553800)","12,721","12,721","1,096","2,487","1,346","924","2,370","2,081","1,303","769","310","35","0","14,709","14,709","1,073","2,525","1,214","1,187","3,084","2,326","1,736","950","514","96","4"
"광주광역시 남구 사직동(2915554500)","2,337","2,337","84","128","247","252","340","411","430","266","168","11","0","2,119","2,119","86","101","214","212","234","303","364","351","226","27","1"
"광주광역시 남구 월산동(2915560500)","4,910","4,910","373","337","489","711","811","785","706","438","242","18","0","4,945","4,945","379","303","427","698","648","719","721","655","316","78","1"
"광주광역시 남구 월산4동(2915563000)","3,968","3,968","90","247","460","505","582","688","706","479","189","22","0","3,756","3,756","93","215","410","391","405","556","777","579","271","57","2"
"광주광역시 남구 월산5동(2915564000)","2,780","2,780","61","136","351","333","387","481","530","346","147","8","0","2,833","2,833","65","135","313","258","254","445","637","460","227","38","1"
"광주광역시 남구 백운1동(2915567000)","5,297","5,297","296","551","626","543","799","826","824","547","255","30","0","6,055","6,055","251","569","593","527","872","960","1,101","731","382","69","0"
"광주광역시 남구 백운2동(2915568000)","3,326","3,326","199","223","465","510","495","498","479","296","149","12","0","3,339","3,339","182","222","509","471","395","482","512","348","186","31","1"
"광주광역시 남구 주월1동(2915569000)","9,850","9,850","634","1,123","1,226","1,147","1,540","1,665","1,384","821","293","16","1","10,603","10,603","604","1,003","1,202","1,132","1,577","1,899","1,672","998","430","86","0"
"광주광역시 남구 주월2동(2915570000)","3,563","3,563","134","253","397","396","498","568","661","464","176","15","1","3,651","3,651","138","239","302","326","435","614","788","526","244","36","3"
"광주광역시 남구 진월동(2915570500)","12,787","12,787","702","1,686","1,830","1,218","1,934","2,151","1,741","997","487","39","2","14,754","14,754","740","2,034","1,693","1,300","2,286","2,579","2,063","1,297","644","117","1"
